#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
2356;42.7085;2.3853;RCP8.5;H1;3;18.88;22.49;1.38;1.47;
2357;42.7084;2.4827;RCP8.5;H1;3;20.8;24.96;1.3;1.43;
2358;42.7082;2.5801;RCP8.5;H1;3;22.46;26.79;1.4;1.51;
2359;42.7079;2.6775;RCP8.5;H1;3;23.72;28.18;1.41;1.54;
2360;42.7076;2.775;RCP8.5;H1;3;24.3;27.97;1.35;1.37;
2361;42.7071;2.8724;RCP8.5;H1;3;24.73;28.52;1.43;1.5;
2362;42.7066;2.9698;RCP8.5;H1;3;24.9;28.73;1.43;1.5;
2363;42.706;3.0672;RCP8.5;H1;3;25;28.86;0;0;
2421;42.5178;8.7036;RCP8.5;H1;3;23.82;27.04;1.41;1.24;
2422;42.512;8.8003;RCP8.5;H1;3;23.84;27.06;1.41;1.24;
2423;42.506;8.8971;RCP8.5;H1;3;20.45;22.83;1.62;1.48;
2424;42.5;8.9938;RCP8.5;H1;3;19.25;22.24;1.67;1.59;
2425;42.4939;9.0905;RCP8.5;H1;3;21.68;25.91;1.76;1.76;
2426;42.4877;9.1872;RCP8.5;H1;3;23.22;27.92;1.64;1.72;
2427;42.4814;9.2839;RCP8.5;H1;3;23.03;27.49;1.92;2.01;
2428;42.475;9.3805;RCP8.5;H1;3;22.62;26.55;1.76;1.95;
2429;42.4685;9.4772;RCP8.5;H1;3;24.1;27.85;1.39;1.46;
2430;42.4619;9.5738;RCP8.5;H1;3;24.8;28;0;0;
2473;42.7513;-0.1499;RCP8.5;H1;3;11.76;14.47;0;0;
2474;42.7535;-0.0524;RCP8.5;H1;3;12.92;15.83;1.82;2.03;
2475;42.7557;0.045;RCP8.5;H1;3;13.81;16.97;1.84;2.08;
2476;42.7577;0.1425;RCP8.5;H1;3;12.29;15.02;2.01;2.21;
2477;42.7597;0.24;RCP8.5;H1;3;13.4;16.39;1.75;1.91;
2478;42.7616;0.3374;RCP8.5;H1;3;13.61;16.67;1.75;1.92;
2479;42.7634;0.4349;RCP8.5;H1;3;14.37;17.62;2.08;2.33;
2480;42.765;0.5324;RCP8.5;H1;3;15.24;19.28;1.54;1.78;
2481;42.7667;0.6299;RCP8.5;H1;3;16.81;21.44;1.54;1.83;
2484;42.7709;0.9224;RCP8.5;H1;3;11.96;14.61;1.94;2.15;
2485;42.7722;1.0199;RCP8.5;H1;3;12.52;15.43;0;0;
2486;42.7733;1.1174;RCP8.5;H1;3;13.96;17.42;1.7;2.01;
2487;42.7744;1.2149;RCP8.5;H1;3;16.4;20.83;1.21;1.32;
2488;42.7754;1.3125;RCP8.5;H1;3;16.34;20.72;1.18;1.25;
2489;42.7763;1.41;RCP8.5;H1;3;14.53;18.23;1.18;1.22;
2490;42.7771;1.5075;RCP8.5;H1;3;17.28;21.6;1.16;1.23;
2491;42.7778;1.6051;RCP8.5;H1;3;18.16;22.63;1.3;1.45;
2492;42.7784;1.7026;RCP8.5;H1;3;18.83;23.31;1.27;1.44;
2493;42.779;1.8001;RCP8.5;H1;3;17.03;21.24;1.3;1.37;
2494;42.7794;1.8977;RCP8.5;H1;3;15.83;19.8;1.29;1.36;
2495;42.7798;1.9952;RCP8.5;H1;3;16.07;19.46;1.31;1.4;
2496;42.78;2.0927;RCP8.5;H1;3;17.77;21.46;1.19;1.31;
2497;42.7802;2.1903;RCP8.5;H1;3;18.42;22.22;1.17;1.3;
2498;42.7803;2.2878;RCP8.5;H1;3;18.73;22.54;1.32;1.44;
2499;42.7803;2.3854;RCP8.5;H1;3;20.34;24.3;1.33;1.42;
2500;42.7802;2.4829;RCP8.5;H1;3;22.19;26.51;1.3;1.42;
2501;42.78;2.5804;RCP8.5;H1;3;23.18;27.65;1.41;1.55;
2502;42.7798;2.678;RCP8.5;H1;3;23.95;28.42;1.4;1.53;
2503;42.7794;2.7755;RCP8.5;H1;3;23.92;27.53;1.37;1.42;
2504;42.779;2.873;RCP8.5;H1;3;24.78;28.62;1.43;1.53;
2505;42.7784;2.9706;RCP8.5;H1;3;24.96;28.85;1.43;1.53;
2506;42.7778;3.0681;RCP8.5;H1;3;24.71;29.01;0;0;
2564;42.5894;8.7114;RCP8.5;H1;3;24.65;27.89;0;0;
2565;42.5835;8.8083;RCP8.5;H1;3;24.36;27.59;1.37;1.2;
