#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h25 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
2335;42.6897;0.3399;RCP4.5;H1;3;11.67;14.27;0;0;
2336;42.6915;0.4373;RCP4.5;H1;3;10.47;12.9;1.57;1.65;
2337;42.6932;0.5346;RCP4.5;H1;3;10.61;13.12;1.26;1.33;
2338;42.6948;0.632;RCP4.5;H1;3;12.27;15.14;1.28;1.37;
2343;42.7015;1.1189;RCP4.5;H1;3;13.24;16.26;0;0;
2344;42.7026;1.2163;RCP4.5;H1;3;12;14.61;0;0;
2345;42.7036;1.3137;RCP4.5;H1;3;12.18;15.05;0;0;
2346;42.7044;1.4111;RCP4.5;H1;3;13.27;16.32;1.93;2.33;
2347;42.7052;1.5086;RCP4.5;H1;3;13.32;16.28;1.35;1.43;
2348;42.706;1.606;RCP4.5;H1;3;13.38;16.33;1.23;1.24;
2349;42.7066;1.7034;RCP4.5;H1;3;14.53;17.95;1.23;1.26;
2350;42.7071;1.8008;RCP4.5;H1;3;16.76;20.92;1.17;1.23;
2351;42.7076;1.8982;RCP4.5;H1;3;16.21;20.22;1.18;1.21;
2352;42.7079;1.9956;RCP4.5;H1;3;13.6;16.6;1.21;1.17;
2353;42.7082;2.093;RCP4.5;H1;3;16.49;20.21;1.15;1.19;
2354;42.7084;2.1905;RCP4.5;H1;3;15.36;18.61;1.18;1.18;
2355;42.7085;2.2879;RCP4.5;H1;3;16.52;20.03;1.35;1.48;
2356;42.7085;2.3853;RCP4.5;H1;3;18.83;22.42;1.33;1.4;
2357;42.7084;2.4827;RCP4.5;H1;3;20.76;24.89;1.26;1.36;
2358;42.7082;2.5801;RCP4.5;H1;3;22.38;26.66;1.32;1.38;
2359;42.7079;2.6775;RCP4.5;H1;3;23.59;27.99;1.28;1.35;
2360;42.7076;2.775;RCP4.5;H1;3;24.19;27.83;1.24;1.23;
2361;42.7071;2.8724;RCP4.5;H1;3;24.57;28.34;1.27;1.32;
2362;42.7066;2.9698;RCP4.5;H1;3;24.74;28.55;1.27;1.32;
2363;42.706;3.0672;RCP4.5;H1;3;24.83;28.68;0;0;
2421;42.5178;8.7036;RCP4.5;H1;3;23.75;27.02;1.34;1.22;
2422;42.512;8.8003;RCP4.5;H1;3;23.76;27.04;1.33;1.22;
2423;42.506;8.8971;RCP4.5;H1;3;20.36;22.78;1.53;1.43;
2424;42.5;8.9938;RCP4.5;H1;3;19.21;22.28;1.63;1.63;
2425;42.4939;9.0905;RCP4.5;H1;3;21.65;25.96;1.73;1.81;
2426;42.4877;9.1872;RCP4.5;H1;3;23.19;27.96;1.61;1.76;
2427;42.4814;9.2839;RCP4.5;H1;3;22.94;27.48;1.83;2;
2428;42.475;9.3805;RCP4.5;H1;3;22.47;26.41;1.61;1.81;
2429;42.4685;9.4772;RCP4.5;H1;3;23.98;27.76;1.27;1.37;
2430;42.4619;9.5738;RCP4.5;H1;3;24.69;27.92;0;0;
2473;42.7513;-0.1499;RCP4.5;H1;3;11.41;14.02;0;0;
2474;42.7535;-0.0524;RCP4.5;H1;3;12.61;15.4;1.51;1.6;
2475;42.7557;0.045;RCP4.5;H1;3;13.48;16.53;1.51;1.64;
2476;42.7577;0.1425;RCP4.5;H1;3;11.93;14.57;1.65;1.76;
2477;42.7597;0.24;RCP4.5;H1;3;13.12;16.07;1.47;1.59;
2478;42.7616;0.3374;RCP4.5;H1;3;13.34;16.35;1.48;1.6;
2479;42.7634;0.4349;RCP4.5;H1;3;13.94;17.09;1.65;1.8;
2480;42.765;0.5324;RCP4.5;H1;3;15;18.95;1.3;1.45;
2481;42.7667;0.6299;RCP4.5;H1;3;16.56;21.09;1.29;1.48;
2484;42.7709;0.9224;RCP4.5;H1;3;11.59;14.14;1.57;1.68;
2485;42.7722;1.0199;RCP4.5;H1;3;12.27;15.05;0;0;
2486;42.7733;1.1174;RCP4.5;H1;3;13.7;17.02;1.44;1.61;
2487;42.7744;1.2149;RCP4.5;H1;3;16.31;20.68;1.12;1.17;
2488;42.7754;1.3125;RCP4.5;H1;3;16.25;20.59;1.09;1.12;
2489;42.7763;1.41;RCP4.5;H1;3;14.45;18.1;1.1;1.09;
2490;42.7771;1.5075;RCP4.5;H1;3;17.17;21.47;1.05;1.1;
2491;42.7778;1.6051;RCP4.5;H1;3;18.04;22.49;1.18;1.31;
2492;42.7784;1.7026;RCP4.5;H1;3;18.71;23.16;1.15;1.29;
2493;42.779;1.8001;RCP4.5;H1;3;16.9;21.09;1.17;1.22;
2494;42.7794;1.8977;RCP4.5;H1;3;15.73;19.64;1.19;1.2;
2495;42.7798;1.9952;RCP4.5;H1;3;15.96;19.3;1.2;1.24;
